TRIGGER_NUM µ_Z_H06 PI_50% PI_90% µ_Z_L08 PI_50% PI_90% µ_Z_B10 PI_50% PI_90%
105 0.47 [0.31,0.59] [0.18,0.91] 0.45 [0.38,0.51] [0.30,0.65] 0.72 [0.44,0.92] [0.24,1.43]
1657 1.50 [1.08,1.81] [0.74,2.54] 2.08 [1.82,2.33] [1.42,2.72] 2.14 [1.48,2.66] [0.95,3.80]
1660 1.22 [0.90,1.45] [0.60,2.08] 1.49 [1.31,1.65] [1.04,1.97] 2.03 [1.37,2.54] [0.86,3.72]
1661 1.82 [1.30,2.22] [0.90,3.10] 2.52 [2.21,2.83] [1.74,3.31] 2.66 [1.92,3.29] [1.24,4.40]
1663 0.74 [0.52,0.90] [0.32,1.30] 0.68 [0.59,0.75] [0.47,0.95] 1.31 [0.87,1.62] [0.52,2.50]
1664 0.51 [0.34,0.63] [0.19,0.97] 0.51 [0.43,0.57] [0.33,0.72] 0.77 [0.48,0.97] [0.25,1.53]
1667 1.83 [1.29,2.25] [0.86,3.17] 2.57 [2.27,2.86] [1.79,3.35] 2.86 [2.06,3.55] [1.30,4.73]
1676 1.00 [0.75,1.18] [0.48,1.72] 1.08 [0.96,1.19] [0.78,1.43] 1.82 [1.21,2.28] [0.75,3.45]
1687 1.47 [1.06,1.79] [0.72,2.51] 2.03 [1.79,2.27] [1.40,2.66] 2.18 [1.50,2.72] [0.96,3.89]
1693 1.14 [0.84,1.38] [0.55,1.94] 1.48 [1.29,1.65] [1.01,1.97] 1.67 [1.11,2.08] [0.70,3.15]
1700 1.05 [0.79,1.25] [0.52,1.74] 1.25 [1.09,1.39] [0.89,1.64] 1.46 [1.00,1.79] [0.65,2.67]
1701 0.85 [0.62,1.03] [0.38,1.43] 1.01 [0.88,1.12] [0.69,1.35] 1.13 [0.75,1.40] [0.45,2.15]
1704 1.35 [0.99,1.63] [0.68,2.28] 1.78 [1.55,2.00] [1.20,2.36] 1.90 [1.30,2.34] [0.85,3.45]
1711 0.48 [0.32,0.60] [0.19,0.92] 0.41 [0.35,0.46] [0.27,0.59] 0.75 [0.48,0.95] [0.27,1.44]
1712 1.51 [1.09,1.80] [0.75,2.61] 1.83 [1.60,2.02] [1.27,2.43] 2.69 [1.92,3.35] [1.21,4.50]
1714 1.92 [1.36,2.37] [0.91,3.31] 2.75 [2.43,3.06] [1.90,3.55] 2.86 [2.08,3.55] [1.33,4.70]
1717 0.87 [0.64,1.04] [0.41,1.45] 0.95 [0.84,1.05] [0.68,1.25] 1.29 [0.87,1.58] [0.53,2.42]
1730 1.51 [1.08,1.82] [0.75,2.58] 2.03 [1.79,2.27] [1.40,2.66] 2.29 [1.59,2.86] [1.02,4.00]
1731 1.02 [0.77,1.20] [0.50,1.70] 1.14 [1.00,1.25] [0.81,1.50] 1.56 [1.06,1.93] [0.68,2.92]
1733 0.99 [0.75,1.16] [0.50,1.65] 1.05 [0.93,1.15] [0.75,1.38] 1.55 [1.06,1.90] [0.68,2.86]
1734 1.05 [0.79,1.26] [0.50,1.77] 1.28 [1.11,1.42] [0.90,1.70] 1.59 [1.07,1.97] [0.67,3.01]
1740 1.42 [1.04,1.70] [0.72,2.37] 1.87 [1.64,2.09] [1.28,2.45] 2.04 [1.42,2.51] [0.93,3.63]
1742 1.49 [1.08,1.80] [0.73,2.54] 1.96 [1.72,2.18] [1.36,2.58] 2.38 [1.65,2.97] [1.05,4.12]
1806 1.56 [1.12,1.90] [0.76,2.67] 2.14 [1.89,2.39] [1.48,2.79] 2.40 [1.68,3.01] [1.07,4.14]
1807 1.33 [0.97,1.59] [0.65,2.30] 1.63 [1.43,1.81] [1.14,2.16] 2.35 [1.62,2.95] [1.00,4.14]
1815 0.94 [0.70,1.11] [0.44,1.58] 1.03 [0.91,1.13] [0.74,1.36] 1.50 [1.00,1.85] [0.62,2.84]
1819 0.83 [0.62,0.98] [0.41,1.35] 0.84 [0.73,0.93] [0.58,1.11] 1.09 [0.77,1.32] [0.49,1.96]
1830 1.57 [1.14,1.88] [0.80,2.64] 2.03 [1.77,2.28] [1.40,2.69] 2.36 [1.68,2.92] [1.08,4.05]
1883 0.74 [0.53,0.90] [0.34,1.26] 0.75 [0.65,0.83] [0.52,1.01] 1.10 [0.75,1.36] [0.45,2.06]
1885 1.68 [1.20,2.04] [0.82,2.90] 2.25 [1.98,2.50] [1.57,2.95] 2.71 [1.94,3.37] [1.23,4.53]
1886 0.70 [0.49,0.86] [0.32,1.23] 0.59 [0.50,0.66] [0.40,0.84] 1.12 [0.77,1.37] [0.47,2.06]
1922 0.88 [0.65,1.06] [0.42,1.47] 0.98 [0.87,1.08] [0.70,1.29] 1.23 [0.84,1.51] [0.52,2.30]
1924 1.31 [0.97,1.57] [0.66,2.22] 1.64 [1.44,1.82] [1.14,2.16] 2.05 [1.41,2.54] [0.90,3.69]
1956 0.96 [0.72,1.14] [0.45,1.62] 1.09 [0.97,1.20] [0.78,1.43] 1.50 [1.00,1.85] [0.62,2.84]
1967 1.13 [0.84,1.35] [0.55,1.93] 1.37 [1.20,1.51] [0.97,1.80] 1.86 [1.24,2.31] [0.78,3.47]
1974 0.73 [0.49,0.91] [0.27,1.33] 0.84 [0.72,0.94] [0.56,1.15] 1.37 [0.84,1.74] [0.45,2.83]
1982 1.49 [1.08,1.77] [0.75,2.54] 1.81 [1.59,2.01] [1.26,2.39] 2.52 [1.79,3.13] [1.13,4.28]
1989 1.62 [1.17,1.94] [0.81,2.83] 1.93 [1.69,2.15] [1.35,2.56] 2.93 [2.14,3.63] [1.37,4.81]
1993 1.02 [0.75,1.22] [0.46,1.76] 1.21 [1.06,1.36] [0.84,1.64] 1.75 [1.13,2.19] [0.68,3.37]
1997 1.11 [0.83,1.30] [0.54,1.89] 1.24 [1.09,1.37] [0.90,1.64] 1.99 [1.33,2.50] [0.84,3.67]
2018 1.25 [0.91,1.51] [0.59,2.19] 1.59 [1.39,1.77] [1.09,2.12] 2.18 [1.45,2.76] [0.90,3.98]
2019 1.28 [0.95,1.52] [0.63,2.18] 1.56 [1.38,1.74] [1.09,2.06] 2.09 [1.42,2.61] [0.90,3.80]
2035 0.95 [0.71,1.13] [0.45,1.56] 1.12 [0.98,1.25] [0.79,1.49] 1.20 [0.83,1.48] [0.52,2.22]
2047 1.02 [0.77,1.20] [0.50,1.68] 1.18 [1.04,1.30] [0.84,1.55] 1.45 [0.99,1.79] [0.63,2.69]
2053 0.71 [0.52,0.87] [0.33,1.20] 0.71 [0.62,0.79] [0.49,0.97] 0.94 [0.65,1.15] [0.39,1.71]
2061 1.76 [1.26,2.12] [0.87,3.06] 2.14 [1.88,2.37] [1.50,2.83] 3.11 [2.30,3.80] [1.48,5.05]
2067 0.73 [0.51,0.90] [0.31,1.30] 0.71 [0.62,0.79] [0.49,0.97] 1.33 [0.87,1.65] [0.52,2.58]
2069 1.18 [0.89,1.41] [0.60,1.96] 1.54 [1.33,1.72] [1.05,2.04] 1.53 [1.06,1.88] [0.69,2.78]
2070 1.42 [1.03,1.71] [0.71,2.40] 1.90 [1.66,2.12] [1.30,2.50] 2.11 [1.45,2.62] [0.94,3.78]
2074 1.58 [1.14,1.90] [0.79,2.72] 2.01 [1.77,2.24] [1.41,2.64] 2.66 [1.90,3.31] [1.20,4.45]
2077 2.09 [1.49,2.56] [0.97,3.59] 2.90 [2.58,3.21] [2.04,3.74] 3.23 [2.42,3.91] [1.57,5.22]
2079 1.30 [0.96,1.57] [0.64,2.21] 1.69 [1.49,1.89] [1.16,2.22] 1.96 [1.33,2.45] [0.85,3.59]
2080 1.19 [0.89,1.41] [0.59,2.05] 1.36 [1.19,1.50] [0.97,1.80] 2.20 [1.49,2.76] [0.93,3.96]
2081 1.16 [0.88,1.38] [0.60,1.92] 1.38 [1.20,1.55] [0.96,1.82] 1.62 [1.12,2.00] [0.73,2.97]
2083 0.46 [0.30,0.57] [0.18,0.92] 0.40 [0.34,0.44] [0.27,0.57] 0.82 [0.52,1.04] [0.28,1.63]
2087 0.86 [0.64,1.02] [0.41,1.42] 0.93 [0.82,1.03] [0.65,1.22] 1.17 [0.80,1.43] [0.50,2.16]
2090 0.71 [0.50,0.87] [0.31,1.23] 0.70 [0.60,0.77] [0.48,0.95] 1.11 [0.75,1.38] [0.44,2.11]
2093 1.60 [1.15,1.94] [0.79,2.74] 2.15 [1.90,2.40] [1.49,2.81] 2.51 [1.77,3.12] [1.13,4.26]
2101 1.80 [1.29,2.19] [0.88,3.10] 2.46 [2.16,2.74] [1.70,3.21] 2.76 [2.00,3.43] [1.28,4.55]
2102 0.99 [0.74,1.18] [0.46,1.66] 1.16 [1.02,1.29] [0.83,1.53] 1.49 [0.99,1.84] [0.62,2.81]
2105 0.96 [0.71,1.16] [0.44,1.63] 1.18 [1.03,1.31] [0.82,1.58] 1.36 [0.90,1.69] [0.55,2.61]
2106 1.26 [0.94,1.50] [0.63,2.14] 1.51 [1.32,1.68] [1.06,2.00] 2.04 [1.39,2.54] [0.90,3.69]
2110 0.95 [0.72,1.13] [0.46,1.62] 1.01 [0.89,1.11] [0.72,1.33] 1.57 [1.06,1.94] [0.66,2.97]
2111 1.39 [1.01,1.68] [0.68,2.40] 1.77 [1.56,1.97] [1.23,2.34] 2.35 [1.63,2.95] [1.01,4.12]
2112 1.92 [1.39,2.34] [0.95,3.27] 2.55 [2.24,2.86] [1.76,3.37] 2.96 [2.19,3.63] [1.43,4.78]
2114 0.92 [0.70,1.10] [0.46,1.50] 1.06 [0.93,1.17] [0.74,1.40] 1.14 [0.80,1.39] [0.51,2.05]
2119 1.12 [0.84,1.33] [0.55,1.88] 1.39 [1.22,1.55] [0.97,1.84] 1.65 [1.11,2.04] [0.71,3.08]
2122 1.73 [1.24,2.08] [0.85,3.01] 2.13 [1.88,2.37] [1.49,2.81] 3.01 [2.21,3.69] [1.42,4.89]
2123 1.21 [0.89,1.44] [0.58,2.09] 1.47 [1.28,1.63] [1.03,1.96] 2.13 [1.43,2.69] [0.89,3.89]
2129 1.25 [0.92,1.51] [0.61,2.12] 1.66 [1.45,1.86] [1.13,2.19] 1.81 [1.22,2.25] [0.78,3.37]
2133 0.96 [0.72,1.16] [0.44,1.62] 1.17 [1.02,1.31] [0.81,1.57] 1.28 [0.87,1.58] [0.53,2.42]
2138 1.05 [0.78,1.24] [0.50,1.81] 1.15 [1.01,1.26] [0.83,1.52] 1.97 [1.31,2.48] [0.82,3.67]
2140 1.47 [1.05,1.79] [0.69,2.56] 1.97 [1.72,2.19] [1.35,2.61] 2.43 [1.68,3.06] [1.03,4.23]
2143 1.52 [1.09,1.84] [0.75,2.59] 2.00 [1.76,2.24] [1.38,2.62] 2.37 [1.65,2.95] [1.06,4.12]
2148 1.09 [0.82,1.30] [0.54,1.84] 1.33 [1.16,1.48] [0.93,1.76] 1.63 [1.10,2.02] [0.71,3.04]
2149 1.99 [1.41,2.43] [0.93,3.53] 2.51 [2.21,2.78] [1.76,3.33] 3.56 [2.69,4.23] [1.75,5.78]
2151 0.38 [0.24,0.47] [0.15,0.75] 0.25 [0.20,0.28] [0.16,0.37] 0.60 [0.39,0.75] [0.23,1.14]
2152 1.03 [0.73,1.25] [0.42,1.82] 1.33 [1.14,1.51] [0.90,1.84] 1.67 [1.05,2.12] [0.60,3.33]
2156 1.02 [0.75,1.21] [0.49,1.79] 1.05 [0.92,1.15] [0.75,1.40] 2.00 [1.33,2.51] [0.84,3.69]
2181 1.50 [1.08,1.81] [0.75,2.56] 2.00 [1.76,2.24] [1.38,2.62] 2.31 [1.62,2.86] [1.03,4.02]
2187 1.59 [1.14,1.94] [0.78,2.72] 2.26 [1.98,2.53] [1.55,2.95] 2.32 [1.62,2.90] [1.04,4.05]
2188 1.69 [1.21,2.05] [0.83,2.92] 2.26 [2.00,2.51] [1.57,2.95] 2.72 [1.96,3.39] [1.24,4.53]
2189 1.61 [1.14,1.96] [0.78,2.76] 2.21 [1.94,2.46] [1.52,2.88] 2.46 [1.72,3.06] [1.09,4.21]
2190 1.44 [1.05,1.72] [0.72,2.45] 1.79 [1.57,1.98] [1.25,2.36] 2.41 [1.69,3.01] [1.08,4.16]
2191 1.27 [0.95,1.51] [0.65,2.12] 1.59 [1.39,1.77] [1.09,2.08] 1.88 [1.29,2.33] [0.84,3.43]
2193 1.56 [1.13,1.88] [0.79,2.67] 1.93 [1.70,2.14] [1.35,2.54] 2.65 [1.89,3.29] [1.21,4.43]
2197 1.41 [1.03,1.70] [0.70,2.42] 1.82 [1.60,2.02] [1.26,2.39] 2.29 [1.58,2.86] [1.00,4.02]
2202 1.32 [0.96,1.59] [0.63,2.27] 1.77 [1.55,1.97] [1.20,2.34] 2.05 [1.38,2.56] [0.86,3.76]
2203 1.01 [0.76,1.20] [0.50,1.68] 1.19 [1.05,1.31] [0.84,1.56] 1.43 [0.97,1.75] [0.62,2.64]
2204 1.25 [0.93,1.50] [0.62,2.09] 1.63 [1.42,1.81] [1.11,2.14] 1.76 [1.20,2.18] [0.78,3.23]
2207 1.11 [0.82,1.35] [0.52,1.89] 1.46 [1.26,1.65] [0.99,1.97] 1.53 [1.01,1.89] [0.62,2.92]
2211 1.53 [1.11,1.84] [0.77,2.62] 1.92 [1.70,2.14] [1.35,2.53] 2.54 [1.80,3.17] [1.15,4.31]
2213 0.89 [0.66,1.06] [0.42,1.49] 0.95 [0.84,1.05] [0.68,1.25] 1.38 [0.93,1.70] [0.58,2.59]
2219 1.04 [0.77,1.24] [0.49,1.76] 1.26 [1.10,1.40] [0.89,1.66] 1.58 [1.05,1.96] [0.65,3.01]
2228 1.07 [0.80,1.26] [0.52,1.82] 1.18 [1.04,1.30] [0.84,1.56] 1.92 [1.28,2.39] [0.81,3.57]
2230 1.27 [0.93,1.53] [0.62,2.15] 1.73 [1.51,1.94] [1.17,2.28] 1.73 [1.17,2.15] [0.75,3.21]
2232 0.84 [0.62,1.00] [0.39,1.42] 0.87 [0.77,0.97] [0.62,1.16] 1.30 [0.89,1.60] [0.55,2.45]
2233 1.64 [1.17,2.00] [0.81,2.81] 2.30 [2.01,2.59] [1.56,3.06] 2.32 [1.63,2.88] [1.06,4.02]
2240 1.63 [1.16,1.98] [0.79,2.83] 2.22 [1.96,2.46] [1.53,2.90] 2.61 [1.85,3.27] [1.16,4.40]
2244 2.23 [1.59,2.74] [1.05,3.78] 3.13 [2.78,3.49] [2.19,3.98] 3.33 [2.51,4.00] [1.65,5.33]
2252 1.62 [1.15,1.97] [0.79,2.79] 2.20 [1.94,2.45] [1.52,2.86] 2.55 [1.80,3.17] [1.14,4.33]
2253 1.16 [0.86,1.38] [0.57,1.96] 1.43 [1.25,1.58] [0.99,1.88] 1.78 [1.20,2.22] [0.76,3.33]
2254 0.81 [0.60,0.97] [0.37,1.35] 0.89 [0.78,0.98] [0.62,1.17] 1.06 [0.72,1.30] [0.44,1.97]
2267 1.16 [0.88,1.39] [0.58,1.94] 1.41 [1.24,1.58] [0.98,1.86] 1.71 [1.16,2.11] [0.75,3.15]
2276 2.62 [1.93,3.23] [1.24,4.33] 3.38 [3.02,3.74] [2.43,4.28] 4.14 [3.21,4.81] [2.21,6.73]
2277 1.32 [0.97,1.58] [0.67,2.24] 1.67 [1.47,1.85] [1.16,2.19] 2.06 [1.41,2.56] [0.91,3.69]
2287 2.15 [1.55,2.61] [1.02,3.74] 2.68 [2.36,2.99] [1.89,3.55] 3.69 [2.83,4.35] [1.88,5.96]
2298 2.30 [1.65,2.83] [1.07,3.89] 3.15 [2.81,3.49] [2.24,3.98] 3.52 [2.67,4.19] [1.77,5.63]
2304 1.55 [1.11,1.88] [0.76,2.66] 2.07 [1.82,2.30] [1.43,2.71] 2.46 [1.72,3.06] [1.09,4.21]
2306 1.03 [0.78,1.21] [0.52,1.68] 1.18 [1.04,1.30] [0.84,1.55] 1.41 [0.97,1.72] [0.63,2.56]
2309 1.05 [0.80,1.24] [0.53,1.74] 1.20 [1.06,1.33] [0.86,1.58] 1.52 [1.04,1.86] [0.68,2.79]
2310 1.58 [1.13,1.93] [0.78,2.71] 2.18 [1.93,2.43] [1.51,2.84] 2.37 [1.66,2.95] [1.06,4.09]
2311 1.37 [1.01,1.65] [0.69,2.31] 1.79 [1.57,2.00] [1.23,2.34] 2.04 [1.41,2.53] [0.91,3.65]
2315 1.20 [0.90,1.43] [0.59,2.05] 1.46 [1.28,1.62] [1.02,1.93] 1.99 [1.35,2.50] [0.84,3.67]
2316 1.48 [1.06,1.77] [0.71,2.66] 1.73 [1.51,1.92] [1.20,2.33] 2.91 [2.08,3.63] [1.28,4.86]
2321 0.70 [0.50,0.87] [0.30,1.23] 0.73 [0.63,0.81] [0.50,0.99] 1.09 [0.72,1.35] [0.42,2.09]
2324 2.08 [1.49,2.54] [0.98,3.59] 2.78 [2.46,3.08] [1.96,3.61] 3.34 [2.51,4.00] [1.64,5.36]
2325 1.34 [0.98,1.62] [0.68,2.25] 1.85 [1.62,2.08] [1.25,2.43] 1.78 [1.23,2.19] [0.81,3.23]
2328 1.49 [1.08,1.80] [0.73,2.59] 1.89 [1.66,2.09] [1.31,2.48] 2.59 [1.82,3.25] [1.14,4.40]
2329 0.67 [0.45,0.83] [0.28,1.22] 0.58 [0.50,0.65] [0.39,0.82] 1.23 [0.80,1.52] [0.47,2.37]
2340 1.15 [0.86,1.37] [0.57,1.94] 1.39 [1.22,1.55] [0.98,1.84] 1.80 [1.21,2.24] [0.77,3.35]
2344 1.77 [1.27,2.15] [0.88,3.01] 2.39 [2.09,2.69] [1.64,3.17] 2.61 [1.88,3.23] [1.21,4.35]
2345 1.04 [0.79,1.22] [0.52,1.71] 1.17 [1.03,1.29] [0.84,1.55] 1.53 [1.05,1.88] [0.68,2.81]
2346 1.04 [0.78,1.23] [0.50,1.76] 1.20 [1.05,1.32] [0.85,1.59] 1.70 [1.13,2.12] [0.72,3.21]
2347 1.21 [0.90,1.45] [0.60,2.02] 1.57 [1.37,1.75] [1.08,2.06] 1.67 [1.14,2.05] [0.74,3.06]
2349 1.15 [0.84,1.39] [0.54,1.94] 1.51 [1.30,1.69] [1.02,2.01] 1.59 [1.06,1.98] [0.66,3.02]
2362 0.81 [0.58,0.98] [0.36,1.38] 0.90 [0.78,1.00] [0.62,1.20] 1.22 [0.81,1.51] [0.48,2.34]
2367 0.72 [0.52,0.88] [0.33,1.21] 0.75 [0.65,0.84] [0.51,1.01] 0.95 [0.65,1.17] [0.39,1.76]
2371 0.96 [0.71,1.13] [0.45,1.63] 1.05 [0.93,1.15] [0.75,1.38] 1.61 [1.07,2.00] [0.66,3.06]
2373 1.61 [1.15,1.96] [0.79,2.76] 2.22 [1.96,2.48] [1.53,2.90] 2.47 [1.74,3.08] [1.10,4.21]
2375 1.32 [0.98,1.57] [0.68,2.21] 1.64 [1.44,1.82] [1.14,2.15] 2.00 [1.39,2.48] [0.90,3.59]
2380 1.48 [1.08,1.79] [0.75,2.53] 1.92 [1.69,2.14] [1.33,2.51] 2.34 [1.64,2.92] [1.06,4.05]
2381 1.20 [0.88,1.45] [0.56,2.06] 1.60 [1.39,1.80] [1.08,2.14] 1.76 [1.16,2.21] [0.72,3.35]
2383 1.08 [0.82,1.26] [0.55,1.80] 1.17 [1.03,1.29] [0.84,1.55] 1.72 [1.17,2.12] [0.76,3.17]
2385 1.39 [1.01,1.69] [0.69,2.36] 1.88 [1.65,2.11] [1.29,2.46] 2.00 [1.38,2.48] [0.89,3.61]
2387 1.13 [0.84,1.35] [0.55,1.94] 1.29 [1.13,1.42] [0.92,1.71] 2.03 [1.36,2.54] [0.85,3.74]
2391 1.67 [1.19,2.02] [0.82,2.84] 2.29 [2.00,2.56] [1.56,3.02] 2.42 [1.71,3.02] [1.09,4.14]
2392 1.42 [1.02,1.71] [0.69,2.43] 1.90 [1.68,2.12] [1.30,2.50] 2.19 [1.50,2.74] [0.95,3.91]
2393 0.77 [0.54,0.95] [0.31,1.35] 0.86 [0.75,0.97] [0.59,1.16] 1.24 [0.79,1.55] [0.45,2.45]
2394 1.65 [1.19,2.00] [0.81,2.84] 2.16 [1.90,2.40] [1.50,2.83] 2.74 [1.97,3.41] [1.25,4.55]
2405 1.44 [1.06,1.74] [0.73,2.42] 1.93 [1.69,2.15] [1.32,2.53] 2.07 [1.44,2.56] [0.94,3.69]
2419 1.52 [1.10,1.84] [0.77,2.56] 2.04 [1.79,2.28] [1.40,2.67] 2.21 [1.55,2.74] [1.01,3.87]
2423 1.33 [0.97,1.60] [0.65,2.27] 1.78 [1.56,2.00] [1.21,2.36] 1.99 [1.35,2.48] [0.85,3.65]
2428 1.30 [0.97,1.55] [0.67,2.19] 1.55 [1.37,1.72] [1.08,2.05] 2.11 [1.45,2.62] [0.94,3.78]
2429 1.86 [1.32,2.25] [0.90,3.25] 2.36 [2.08,2.62] [1.66,3.10] 3.22 [2.39,3.91] [1.53,5.22]
2430 1.57 [1.12,1.90] [0.77,2.71] 2.09 [1.85,2.33] [1.45,2.74] 2.52 [1.77,3.13] [1.11,4.28]
2432 1.15 [0.86,1.38] [0.57,1.94] 1.40 [1.23,1.56] [0.98,1.85] 1.77 [1.19,2.19] [0.76,3.29]
2435 1.84 [1.31,2.24] [0.88,3.21] 2.37 [2.09,2.64] [1.66,3.13] 3.16 [2.34,3.85] [1.50,5.13]
2436 0.88 [0.65,1.05] [0.42,1.48] 0.92 [0.81,1.01] [0.65,1.21] 1.38 [0.94,1.70] [0.59,2.59]
2437 1.29 [0.96,1.56] [0.65,2.16] 1.72 [1.51,1.93] [1.17,2.25] 1.79 [1.22,2.21] [0.80,3.27]
2438 0.92 [0.67,1.10] [0.41,1.56] 1.06 [0.94,1.17] [0.75,1.41] 1.43 [0.94,1.77] [0.57,2.74]
2440 1.50 [1.08,1.81] [0.73,2.58] 1.98 [1.74,2.19] [1.37,2.59] 2.45 [1.71,3.06] [1.08,4.21]
2441 2.01 [1.44,2.46] [0.97,3.43] 2.80 [2.46,3.12] [1.94,3.61] 2.99 [2.21,3.67] [1.43,4.84]
2442 1.15 [0.86,1.38] [0.57,1.93] 1.50 [1.31,1.69] [1.03,2.00] 1.56 [1.07,1.93] [0.68,2.90]
2443 1.23 [0.91,1.45] [0.61,2.08] 1.45 [1.27,1.60] [1.02,1.92] 2.04 [1.39,2.54] [0.89,3.72]
2446 0.83 [0.61,1.00] [0.38,1.41] 0.89 [0.78,0.98] [0.62,1.17] 1.25 [0.84,1.55] [0.51,2.37]
2447 1.99 [1.42,2.45] [0.95,3.43] 2.74 [2.43,3.04] [1.92,3.55] 3.13 [2.33,3.82] [1.50,5.05]
2450 0.93 [0.69,1.10] [0.44,1.59] 1.00 [0.89,1.09] [0.72,1.31] 1.63 [1.08,2.02] [0.67,3.10]
2451 1.12 [0.83,1.32] [0.53,1.92] 1.31 [1.15,1.45] [0.93,1.74] 1.97 [1.31,2.48] [0.81,3.67]
2452 1.56 [1.10,1.89] [0.74,2.74] 2.03 [1.77,2.25] [1.40,2.67] 2.71 [1.92,3.41] [1.18,4.58]
2453 0.96 [0.71,1.16] [0.43,1.65] 1.17 [1.02,1.29] [0.81,1.56] 1.48 [0.97,1.84] [0.59,2.84]
2458 0.79 [0.57,0.97] [0.34,1.33] 0.89 [0.77,0.98] [0.61,1.18] 1.11 [0.74,1.37] [0.43,2.12]
2460 0.88 [0.64,1.07] [0.39,1.49] 1.05 [0.92,1.17] [0.72,1.40] 1.21 [0.80,1.50] [0.48,2.33]
2472 1.76 [1.26,2.16] [0.86,3.02] 2.51 [2.21,2.81] [1.74,3.27] 2.57 [1.84,3.19] [1.18,4.31]
2476 1.49 [1.06,1.80] [0.70,2.66] 1.84 [1.62,2.05] [1.28,2.46] 2.81 [2.00,3.53] [1.22,4.73]
2477 1.06 [0.79,1.26] [0.51,1.77] 1.27 [1.11,1.41] [0.90,1.68] 1.60 [1.08,1.98] [0.68,3.01]
2482 1.36 [0.98,1.63] [0.65,2.36] 1.72 [1.51,1.90] [1.19,2.27] 2.33 [1.60,2.93] [0.99,4.12]
2484 1.01 [0.75,1.20] [0.48,1.69] 1.18 [1.04,1.31] [0.84,1.56] 1.49 [1.00,1.84] [0.62,2.81]
2495 1.33 [0.98,1.59] [0.68,2.22] 1.69 [1.48,1.88] [1.16,2.21] 1.95 [1.35,2.40] [0.88,3.51]
2496 1.12 [0.85,1.35] [0.57,1.85] 1.44 [1.25,1.62] [0.99,1.90] 1.42 [0.99,1.74] [0.65,2.58]
2500 1.60 [1.15,1.93] [0.79,2.76] 2.04 [1.80,2.27] [1.43,2.67] 2.69 [1.93,3.35] [1.22,4.50]
2505 1.64 [1.17,2.00] [0.80,2.83] 2.24 [1.97,2.50] [1.55,2.92] 2.58 [1.82,3.21] [1.16,4.35]
2508 1.29 [0.97,1.55] [0.68,2.14] 1.61 [1.40,1.81] [1.09,2.15] 1.77 [1.23,2.16] [0.82,3.19]
2510 1.57 [1.12,1.90] [0.76,2.72] 2.08 [1.82,2.31] [1.43,2.74] 2.55 [1.79,3.19] [1.12,4.35]
2511 1.01 [0.75,1.20] [0.48,1.69] 1.20 [1.05,1.33] [0.84,1.60] 1.50 [1.00,1.85] [0.62,2.83]
2515 0.90 [0.68,1.08] [0.43,1.49] 1.06 [0.93,1.17] [0.74,1.40] 1.16 [0.80,1.41] [0.50,2.14]
2519 1.45 [1.05,1.74] [0.72,2.50] 1.84 [1.62,2.04] [1.28,2.42] 2.48 [1.72,3.10] [1.08,4.26]
2522 1.41 [1.03,1.69] [0.70,2.43] 1.70 [1.50,1.88] [1.19,2.24] 2.53 [1.77,3.17] [1.11,4.33]
2528 1.47 [1.06,1.79] [0.72,2.53] 2.01 [1.76,2.25] [1.38,2.66] 2.27 [1.57,2.84] [0.98,4.00]
2530 1.94 [1.38,2.36] [0.91,3.45] 2.41 [2.11,2.67] [1.69,3.21] 3.52 [2.66,4.19] [1.72,5.69]
2533 1.16 [0.85,1.37] [0.57,2.02] 1.22 [1.07,1.35] [0.87,1.63] 2.29 [1.56,2.88] [0.97,4.07]
2537 0.46 [0.29,0.57] [0.17,0.92] 0.45 [0.38,0.51] [0.29,0.65] 0.80 [0.48,1.02] [0.24,1.64]
2541 1.53 [1.11,1.85] [0.76,2.61] 1.99 [1.76,2.22] [1.39,2.61] 2.46 [1.74,3.06] [1.10,4.21]
2551 1.12 [0.85,1.33] [0.58,1.84] 1.38 [1.20,1.55] [0.96,1.82] 1.45 [1.02,1.77] [0.67,2.62]
2560 1.25 [0.94,1.50] [0.64,2.11] 1.54 [1.35,1.72] [1.07,2.04] 1.87 [1.28,2.31] [0.84,3.41]
2569 1.10 [0.84,1.31] [0.55,1.84] 1.35 [1.18,1.50] [0.95,1.77] 1.57 [1.07,1.93] [0.69,2.90]
2570 1.01 [0.75,1.19] [0.49,1.69] 1.13 [0.99,1.24] [0.81,1.49] 1.55 [1.05,1.92] [0.66,2.92]
2581 1.48 [1.08,1.77] [0.75,2.51] 1.88 [1.65,2.08] [1.30,2.46] 2.41 [1.69,3.01] [1.08,4.14]
2586 0.75 [0.54,0.91] [0.34,1.29] 0.76 [0.67,0.84] [0.53,1.03] 1.16 [0.78,1.43] [0.46,2.21]
2589 1.29 [0.96,1.55] [0.65,2.16] 1.67 [1.47,1.86] [1.15,2.19] 1.87 [1.28,2.31] [0.84,3.41]
2593 1.19 [0.89,1.41] [0.58,2.01] 1.45 [1.27,1.60] [1.01,1.90] 1.92 [1.29,2.39] [0.82,3.55]
2600 1.34 [0.97,1.60] [0.65,2.31] 1.69 [1.48,1.88] [1.17,2.24] 2.30 [1.57,2.90] [0.97,4.07]
2603 1.07 [0.79,1.27] [0.50,1.86] 1.25 [1.09,1.38] [0.88,1.66] 1.95 [1.28,2.46] [0.79,3.67]
